Pot_number,Identification,Watering_treatment,Grass_presence,26/08/21,28/08/21,30/08/21,01/09/21,03/09/21,05/09/21,07/09/21,09/09/21,11/09/21,13/09/21,15/09/21,17/09/21,19/09/21,21/09/21,23/09/21,27/09/21
1,D,WET,GRASS,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,D,DRY,GRASS,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
3,BBBB,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CCCC,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CCCC,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BBBB,WET,NO_GRASS,0,0,2,3,3,4,4,4,4,4,4,4,4,3,3,3
7,CCCC,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,AAAA,WET,GRASS,0,0,0,1,1,2,2,2,2,1,1,1,1,1,1,1
10,BBBB,DRY,GRASS,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2
11,DDDD,DRY,NO_GRASS,0,0,0,1,4,3,3,1,0,0,0,0,0,0,0,0
12,D,WET,GRASS,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,D,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,D,WET,GRASS,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15,B,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CCCC,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,AAAA,DRY,NO_GRASS,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
18,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,C,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,C,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,BBBB,DRY,GRASS,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
22,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,DDDD,DRY,NO_GRASS,0,0,1,1,1,1,1,2,2,2,2,2,1,1,1,1
24,D,WET,NO_GRASS,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
25,BBBB,WET,NO_GRASS,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
